0.55	11.6174	0.266209	1.27791
0.65	8.79438	0.1745	0.967382
0.75	6.51374	0.12079	0.716511
0.85	4.87565	0.0878658	0.536322
0.95	3.39261	0.0583217	0.373187
1.05	2.41429	0.0385167	0.265572
1.15	1.68851	0.0255018	0.185736
1.25	1.23605	0.0181914	0.135966
1.35	0.891124	0.0127743	0.0980236
1.45	0.6364	0.00884978	0.070004
1.55	0.464076	0.00637498	0.0510484
1.65	0.337947	0.00452997	0.0371742
1.75	0.251243	0.00333553	0.0276367
1.85	0.182618	0.00237609	0.020088
1.95	0.141444	0.00185659	0.0155588
2.1	0.0908817	0.000830013	0.00999699
2.3	0.0527849	0.00048154	0.00580634
2.5	0.0295279	0.000274028	0.00324807
2.7	0.0171211	0.000169323	0.00188332
2.9	0.0103212	0.000112631	0.00113533
3.25	0.00459976	4.00161e-05	0.000505974
3.75	0.00157442	2.06889e-05	0.000173186
